date,league,season,index,round,home_team,away_team,home_goals,away_goals,home_goals_first_half,away_goals_first_half,link,spectators
2001-07-07,NLA-Qualifikation,2001-02,1,1.Runde,YB,Lugano ,1,1,,,,
2001-07-11,NLA-Qualifikation,2001-02,2,2.Runde,Lausanne,YB ,2,3,,,,
2001-07-18,NLA-Qualifikation,2001-02,3,3.Runde,GC,YB ,1,1,,,,
2001-07-22,NLA-Qualifikation,2001-02,4,4.Runde,YB,Zürich ,1,1,,,,
2001-07-27,NLA-Qualifikation,2001-02,5,5.Runde,Luzern,YB ,0,4,,,,
2001-08-04,NLA-Qualifikation,2001-02,6,6.Runde,YB,Sion ,3,2,,,,
2001-08-11,NLA-Qualifikation,2001-02,7,7.Runde,Basel,YB ,3,1,,,,
2001-08-17,NLA-Qualifikation,2001-02,8,8.Runde,YB,Xamax ,2,0,,,,
2001-08-25,NLA-Qualifikation,2001-02,9,9.Runde,Servette,YB ,3,0,,,,
2001-09-08,NLA-Qualifikation,2001-02,10,10.Runde,YB,Aarau ,2,1,,,,
2001-09-15,NLA-Qualifikation,2001-02,11,11.Runde,St.Gallen,YB ,4,1,,,,
2001-09-22,NLA-Qualifikation,2001-02,12,12.Runde,Lugano,YB ,0,0,,,,
2001-09-29,NLA-Qualifikation,2001-02,13,13.Runde,YB,Lausanne ,7,0,,,,
2001-10-10,NLA-Qualifikation,2001-02,14,14.Runde,YB,GC ,1,3,,,,
2001-10-14,NLA-Qualifikation,2001-02,15,15.Runde,Zürich,YB ,0,0,,,,
2001-10-20,NLA-Qualifikation,2001-02,16,16.Runde,YB,Luzern ,5,1,,,,
2001-10-28,NLA-Qualifikation,2001-02,17,17.Runde,Sion,YB ,1,0,,,,
2001-11-03,NLA-Qualifikation,2001-02,18,18.Runde,YB,Basel ,2,2,,,,
2001-11-11,Schweizer Cup,2001-02,19,1/16-Final,Vevey,YB ,0,1,,,,
2001-11-18,NLA-Qualifikation,2001-02,20,19.Runde,Xamax,YB ,0,0,,,,
2001-11-25,NLA-Qualifikation,2001-02,21,20.Runde,YB,Servette ,0,1,,,,
2001-12-01,NLA-Qualifikation,2001-02,22,21.Runde,Aarau,YB ,2,0,,,,
