url,league,stadium,home_team,away_team,home_goals,away_goals,date,match_start,spectators,round
https://www.fcb.ch/de-CH/Saison/Saisonspiel?m=424,MEISTERSCHAFT,"",FC BASEL 1893,FC AARAU,1,0,1998-10-04,1998-10-04T00:00:00Z,7300,QUALIFIKATIONSRUNDE
https://www.fcb.ch/de-CH/Saison/Saisonspiel?m=425,MEISTERSCHAFT,"",FC ZÜRICH,FC BASEL 1893,1,0,1998-10-16,1998-10-16T00:00:00Z,11300,QUALIFIKATIONSRUNDE
https://www.fcb.ch/de-CH/Saison/Saisonspiel?m=426,MEISTERSCHAFT,"",FC BASEL 1893,SERVETTE FC,0,2,1998-10-25,1998-10-25T00:00:00Z,9800,QUALIFIKATIONSRUNDE
https://www.fcb.ch/de-CH/Saison/Saisonspiel?m=427,MEISTERSCHAFT,"",FC LUZERN,FC BASEL 1893,4,1,1998-10-31,1998-10-31T00:00:00Z,7960,QUALIFIKATIONSRUNDE
https://www.fcb.ch/de-CH/Saison/Saisonspiel?m=428,MEISTERSCHAFT,"",NEUCHÂTEL XAMAX FCS,FC BASEL 1893,3,1,1998-11-07,1998-11-07T00:00:00Z,8100,QUALIFIKATIONSRUNDE
https://www.fcb.ch/de-CH/Saison/Saisonspiel?m=429,MEISTERSCHAFT,"",FC BASEL 1893,FC ST. GALLEN 1879,1,0,1998-11-15,1998-11-15T00:00:00Z,6024,QUALIFIKATIONSRUNDE
https://www.fcb.ch/de-CH/Saison/Saisonspiel?m=430,MEISTERSCHAFT,"",GRASSHOPPER CLUB,FC BASEL 1893,2,1,1998-11-21,1998-11-21T00:00:00Z,7800,QUALIFIKATIONSRUNDE
https://www.fcb.ch/de-CH/Saison/Saisonspiel?m=431,MEISTERSCHAFT,"",FC BASEL 1893,"",,,1998-11-28,1998-11-28T00:00:00Z,,QUALIFIKATIONSRUNDE
https://www.fcb.ch/de-CH/Saison/Saisonspiel?m=432,MEISTERSCHAFT,"",BSC YOUNG BOYS,FC BASEL 1893,1,2,1998-12-06,1998-12-06T00:00:00Z,5300,QUALIFIKATIONSRUNDE
https://www.fcb.ch/de-CH/Saison/Saisonspiel?m=433,MEISTERSCHAFT,"",FC BASEL 1893,FC LUGANO,1,3,1998-12-13,1998-12-13T00:00:00Z,34745,QUALIFIKATIONSRUNDE
https://www.fcb.ch/de-CH/Saison/Saisonspiel?m=434,MEISTERSCHAFT,"",FC BASEL 1893,FC SION,0,0,1998-07-18,1998-07-18T00:00:00Z,9000,QUALIFIKATIONSRUNDE
https://www.fcb.ch/de-CH/Saison/Saisonspiel?m=435,MEISTERSCHAFT,"",FC AARAU,FC BASEL 1893,5,0,1998-07-21,1998-07-21T00:00:00Z,5900,QUALIFIKATIONSRUNDE
https://www.fcb.ch/de-CH/Saison/Saisonspiel?m=436,MEISTERSCHAFT,"",FC BASEL 1893,FC ZÜRICH,2,1,1998-07-25,1998-07-25T00:00:00Z,8500,QUALIFIKATIONSRUNDE
